"Order ID","Customer ID","Order date & time","Product","Order value (gross, net)","Order value (gross)","Order value (net)","Discount applied (₹ + %)","Discount applied (₹)","Discount applied (%)","Payment mode","Shipping city","Pincode","First order vs repeat","Channel source (last touch)","Delivered / Returned / RTO","Name","First order date","Total orders","Total revenue","Average order value","City / tier","Acquisition channel (first touch)","RePurchased","item_count","unique_sku_count","total_item_mrp","total_item_selling_price","average_item_discount_pct","returned_item_count","sku_list","category_list","vendor_list"
"ORD-20220101-000001","CUST-0001627","2022-01-01 20:18:19","2-item cart","2339,1814",2339.0,1814.0,"525,22.5%",525.0,22.5,"Card","Lucknow","624797","First","Meta","Delivered","Tarak More","2022-01-01",1,1814.0,1814.0,"Lucknow / Tier 2","Meta","N",1,1,2699.0,1814.0,32.8,0.0,"SKU-PAN-0002","pants","Apex Fashions"
"ORD-20220101-000006","CUST-0002588","2022-01-01 19:56:15","Mixed Cart","1893,1664",1893.0,1664.0,"229,12.1%",229.0,12.1,"Card","Visakhapatnam","146416","First","Organic Instagram","Delivered","Chanchal Ramanathan","2022-01-01",5,13543.0,2708.6,"Visakhapatnam / Tier 2","Organic Instagram","Y",2,2,4698.0,1998.0,50.0,0.0,"SKU-PAN-0002, SKU-SHI-0001","pants, shirts","Apex Fashions, UrbanWeave Co."
"ORD-20220102-000031","CUST-0002249","2022-01-02 17:24:00","Single item","2841,2105",2841.0,2105.0,"736,25.9%",736.0,25.9,"COD","Rajkot","447865","First","Google","RTO","Theodore Dyal","2022-01-02",2,4098.0,2049.0,"Rajkot / Tier 2","Google","Y",2,2,5798.0,2105.0,50.0,2.0,"SKU-PAN-0008, SKU-SHI-0003","pants, shirts","KnitCraft Studio, StitchWorks India"
"ORD-20220102-000034","CUST-0000627","2022-01-02 12:58:58","Single item","1800,1495",1800.0,1495.0,"305,16.9%",305.0,16.9,"UPI","Bhopal","247580","First","Meta","Delivered","Jackson Sunder","2022-01-02",1,1495.0,1495.0,"Bhopal / Tier 2","Meta","N",1,1,1999.0,1495.0,25.2,0.0,"SKU-SHI-0001","shirts","UrbanWeave Co."
"ORD-20220103-000040","CUST-0002952","2022-01-03 23:36:42","2-item cart","1833,1593",1833.0,1593.0,"240,13.1%",240.0,13.1,"COD","Mumbai","216211","First","Instagram DM","Delivered","Manbir Arora","2022-01-03",3,5906.0,1968.67,"Mumbai / Tier 1","Instagram DM","Y",2,2,4698.0,1998.0,50.0,0.0,"SKU-PAN-0002, SKU-SHI-0001","pants, shirts","Apex Fashions, UrbanWeave Co."
"ORD-20220103-000041","CUST-0001016","2022-01-03 14:29:03","Single item","1908,1575",1908.0,1575.0,"333,17.5%",333.0,17.5,"COD","Visakhapatnam","487713","First","Meta","Delivered","Anay Tella","2022-01-03",5,10389.0,2077.8,"Visakhapatnam / Tier 2","Meta","Y",1,1,2699.0,1575.0,41.6,0.0,"SKU-PAN-0002","pants","Apex Fashions"
"ORD-20220103-000046","CUST-0001507","2022-01-03 17:07:56","Mixed Cart","2063,1613",2063.0,1613.0,"450,21.8%",450.0,21.8,"UPI","Chandigarh","122961","First","Influencer","Delivered","Kamala Dhawan","2022-01-03",4,9558.0,2389.5,"Chandigarh / Tier 2","Influencer","Y",1,1,1499.0,1613.0,0.0,0.0,"SKU-TSH-0004","tshirts","StitchWorks India"
"ORD-20220103-000054","CUST-0001501","2022-01-03 18:33:23","2-item cart","1845,1445",1845.0,1445.0,"400,21.7%",400.0,21.7,"Wallet","Ahmedabad","539089","First","Google","Returned","Shravya Kumer","2022-01-03",1,1445.0,1445.0,"Ahmedabad / Tier 1","Google","N",1,1,1999.0,1445.0,27.7,1.0,"SKU-SHI-0001","shirts","UrbanWeave Co."
"ORD-20220104-000062","CUST-0000419","2022-01-04 14:56:54","Single item","2265,2039",2265.0,2039.0,"226,10.0%",226.0,10.0,"Card","Mumbai","262387","First","Meta","Returned","Aachal Dayal","2022-01-04",1,2039.0,2039.0,"Mumbai / Tier 1","Meta","N",2,2,4198.0,2039.0,41.7,2.0,"SKU-PAN-0002, SKU-TSH-0004","pants, tshirts","Apex Fashions, StitchWorks India"
"ORD-20220104-000065","CUST-0001763","2022-01-04 22:43:20","Single item","2002,1765",2002.0,1765.0,"237,11.8%",237.0,11.8,"UPI","Delhi","760707","First","Organic Instagram","Delivered","Reyansh Jain","2022-01-04",2,4754.0,2377.0,"Delhi / Tier 1","Organic Instagram","Y",1,1,4799.0,1765.0,50.0,0.0,"SKU-JAC-0027","jackets","StitchWorks India"
"ORD-20220105-000070","CUST-0003013","2022-01-05 12:26:34","Mixed Cart","2354,1804",2354.0,1804.0,"549,23.3%",549.0,23.3,"UPI","Nashik","805557","First","Meta","Returned","Aarav Sekhon","2022-01-05",1,1804.0,1804.0,"Nashik / Tier 2","Meta","N",2,2,3798.0,1998.0,47.25,2.0,"SKU-SHI-0001, SKU-SHO-0050","shirts, shorts","UrbanWeave Co."
